timestamp,speed_kmh,rpm,throttle,acceleration,jerk
1785085651.577167,0.0,1390.5,28.235294117647058,0,0
1785085652.2055964,0.0,1322.25,28.627450980392158,0.0,0.0
1785085652.840335,0.0,1276.0,27.84313725490196,0.0,0.0
1785085653.4680812,0.0,1233.5,32.94117647058823,0.0,0.0
1785085654.0927105,0.0,1208.5,33.333333333333336,0.0,0.0
1785085654.7178686,0.0,1234.0,31.372549019607842,0.0,0.0
1785085655.3428204,0.0,1242.25,34.11764705882353,0.0,0.0
1785085655.9819977,0.0,1268.75,37.254901960784316,0.0,0.0
1785085656.6195526,0.0,1173.75,38.8235294117647,0.0,0.0
1785085657.2593486,4.0,1149.5,37.64705882352941,6.251992640951236,9.771852995627102
1785085657.8793972,6.0,1101.25,36.07843137254902,3.2255540106557072,-4.880970630976554
1785085658.5137956,9.0,1215.0,38.03921568627451,4.728889156137489,2.3697017558363913
1785085659.1550257,11.0,1430.0,37.64705882352941,3.1190051436802335,-2.510618257791377
1785085659.7797925,12.0,1546.25,36.470588235294116,1.6005971466100253,-2.4303595075004187
1785085660.4178796,12.0,1690.0,37.64705882352941,0.0,-2.5084307637639047
1785085661.0477405,14.0,1737.5,38.8235294117647,3.175304372578381,5.041278929257694
1785085661.6687484,14.0,1884.5,38.8235294117647,0.0,-5.113146344572646
1785085662.299013,15.0,1916.0,37.254901960784316,1.586635400286209,2.517411893441379
1785085662.9292743,14.0,1903.25,36.86274509803921,-1.5866432028955464,-5.034860926632206
1785085663.5552883,14.0,1884.25,36.470588235294116,0.0,2.5345171474645367
1785085664.19434,14.0,1845.75,36.470588235294116,0.0,0.0
1785085664.8382602,14.0,1800.75,33.333333333333336,0.0,0.0
1785085665.46251,13.0,1691.5,35.294117647058826,-1.6019224731829198,-2.5661556100884826
1785085666.092969,11.0,1544.5,39.21568627450981,-3.172292779737522,-2.4908371924986823
1785085666.7174613,11.0,1483.25,37.64705882352941,0.0,5.079793997438337
1785085667.3529592,11.0,1359.25,32.94117647058823,0.0,0.0
1785085667.980097,10.0,1385.5,34.509803921568626,-1.59454563495307,-2.5425757819478894
1785085668.6186683,11.0,1421.25,36.86274509803921,1.5659959333353743,4.9493952430771095
1785085669.2433205,12.0,1530.75,38.03921568627451,1.6008909988278541,0.05586319625041934
1785085669.8719335,12.0,1704.75,37.254901960784316,0.0,-2.546703633531618
1785085670.5157087,13.0,1735.75,38.03921568627451,1.5533371923224633,2.4128564330522333
1785085671.1489966,14.0,1872.25,39.21568627450981,1.5790606286720663,0.04061886557381009
1785085671.792647,15.0,1988.0,38.431372549019606,1.5536386922081074,-0.03949650412126279
1785085672.4184,16.0,2141.25,40.78431372549019,1.5980742200999085,0.07101127158041788
1785085673.0426176,17.0,2282.25,39.21568627450981,1.6020056849128281,0.006298228980331973
1785085673.6681416,18.0,2343.0,39.21568627450981,1.5986595711755966,-0.005349296752267254
1785085674.3041239,18.0,2319.0,38.431372549019606,0.0,-2.5136857330695
1785085674.9376674,18.0,2308.75,39.6078431372549,0.0,0.0
1785085675.563945,18.0,2337.25,38.03921568627451,0.0,0.0
1785085676.193797,19.0,2378.25,37.64705882352941,1.587674422389962,2.5207100715112993
1785085676.8311617,19.0,2402.0,36.07843137254902,0.0,-2.4909986494330068
1785085678.8674664,18.0,2187.5,27.058823529411764,-0.49108563858927434,-0.24116510442863537
1785085679.4984567,14.0,1278.0,29.80392156862745,-6.339241998590626,-9.26821960291136
1785085680.13018,11.0,1250.0,29.019607843137255,-4.748915606994009,2.5174419404225463
1785085680.7571163,9.0,1218.75,29.019607843137255,-3.1901160725626547,2.4863757243463236
1785085681.381519,7.0,1245.25,27.84313725490196,-3.2030607861592593,-0.020731352254673298
1785085682.0496395,4.0,1227.0,27.45098039215686,-4.490208757092389,-1.9265210302525457
1785085682.6746259,1.0,1239.0,26.666666666666668,-4.800104372386637,-0.4958437659857898
1785085683.2992923,0.0,1211.5,27.058823529411764,-1.6008543377756301,5.1215332955358654
1785085683.9425876,0.0,1216.5,26.666666666666668,0.0,2.4885217837345217
1785085684.5672233,0.0,1210.25,26.666666666666668,0.0,0.0
1785085685.192592,0.0,1200.5,26.274509803921568,0.0,0.0
1785085685.8299735,0.0,1171.75,29.41176470588235,0.0,0.0
1785085686.4646702,0.0,1006.0,26.666666666666668,0.0,0.0
1785085687.1064703,0.0,1058.0,26.666666666666668,0.0,0.0
1785085687.7370973,0.0,1019.5,48.627450980392155,0.0,0.0
1785085688.3567035,2.0,1673.5,40.0,3.2278563669546565,5.209528362844857
1785085688.9933414,6.0,1609.5,41.1764705882353,6.2830061421146235,4.798881200602546
1785085689.6184053,10.0,1385.5,36.07843137254902,6.399345770009475,0.18612437641334878
1785085690.2556348,11.0,1433.0,36.470588235294116,1.5692934650436594,-7.5797695180019184
1785085690.89875,11.0,1436.0,23.92156862745098,0.0,-2.4401433286114704
1785085691.52976,9.0,1081.0,25.88235294117647,-3.169522796202138,-5.02293737782251
1785085692.1693366,9.0,991.0,26.666666666666668,0.0,4.955657276897274
1785085692.799937,7.0,940.75,26.274509803921568,-3.171580344281323,-5.029460940115818
1785085693.4259725,5.0,892.25,23.92156862745098,-3.1947072549407167,-0.03694185463396535
1785085694.06449,2.0,859.25,23.529411764705884,-4.698382494995588,-2.354947142010699
1785085695.7872415,2.0,954.0,83.92156862745098,0.0,2.7272551061240313
1785085696.414743,10.0,1378.5,40.78431372549019,12.74897375768067,20.317041484253796
1785085697.0322094,13.0,1847.0,41.96078431372549,4.858563572604043,-12.778686499372409
1785085697.6690211,17.0,2302.0,32.94117647058823,6.281291300353203,2.234141824770521
1785085698.3064737,17.0,2326.75,70.19607843137256,0.0,-9.853738578895916
1785085698.9382293,21.0,2223.75,69.01960784313725,6.3315624911549095,10.02217089484994
1785085699.574448,27.0,2008.5,59.6078431372549,9.43071806392742,4.871210407177841
1785085700.1969817,32.0,2342.0,83.92156862745098,8.031695514717006,-2.2473046266962475
1785085700.8338215,37.0,2696.0,37.254901960784316,7.851267268166673,-0.2833180772786673
1785085701.4643455,39.0,2006.75,67.84313725490196,3.171965307536955,-7.42129174130356
1785085702.099419,41.0,1869.75,66.66666666666667,3.1492409783113064,-0.03578219440102508
1785085702.7309685,44.0,1993.0,52.94117647058823,4.750222544367306,2.5350062427318942
1785085703.3653374,47.0,2126.25,50.19607843137255,4.729109539616106,-0.03328190405962009
1785085703.999184,50.0,2257.25,49.01960784313726,4.733006964335755,0.006148846113691086
1785085704.6251397,53.0,2367.75,48.23529411764706,4.792670510834528,0.0953159066254912
1785085705.2619288,54.0,2125.0,21.176470588235293,1.5703786794424475,-5.0602183909596805
1785085705.899106,55.0,1756.25,39.21568627450981,1.5694220612419387,-0.0015013377080639824
1785085706.5392432,55.0,1742.5,25.49019607843137,0.0,-2.451696405178276
1785085707.169417,55.0,1743.5,27.45098039215686,0.0,0.0
1785085707.8072283,55.0,1754.5,35.294117647058826,0.0,0.0
1785085708.4433877,55.0,1777.0,34.90196078431372,0.0,0.0
1785085709.05671,56.0,1780.0,32.15686274509804,1.6304642249053436,2.658413588696183
1785085709.6805947,56.0,1797.75,34.90196078431372,0.0,-2.6134064238082724
1785085710.3174918,56.0,1800.5,36.07843137254902,0.0,0.0
1785085710.9563704,56.0,1813.25,35.68627450980392,0.0,0.0
1785085711.581451,57.0,1832.25,36.07843137254902,1.59979372776795,2.5593399714056733
1785085712.2067618,57.0,1835.5,22.352941176470587,0.0,-2.5583973241582187
1785085712.8311303,57.0,1415.75,20.784313725490197,0.0,0.0
1785085713.4820824,57.0,1156.25,29.41176470588235,0.0,0.0
1785085714.107731,56.0,2272.75,32.94117647058823,-1.5983409554520474,-2.5546938098753635
1785085714.755675,56.0,2474.75,25.88235294117647,0.0,2.466788828541004
1785085715.4014184,55.0,2462.5,25.88235294117647,-1.5486028140142458,-2.3981706755728407
1785085716.0311642,55.0,2421.5,25.88235294117647,0.0,2.4590922341576764
1785085716.6568456,54.0,2399.0,25.88235294117647,-1.5982575149620966,-2.5544270841328163
1785085717.2810795,53.0,2363.0,25.88235294117647,-1.6019634661165743,-0.005936798356685806
1785085717.9065595,53.0,2367.5,25.88235294117647,0.0,2.561174823328877
1785085718.5312154,52.0,2320.25,25.88235294117647,-1.600881222383079,-2.5628206881787414
1785085719.1654515,52.0,2299.25,25.88235294117647,0.0,2.5241092853399105
1785085719.8000553,52.0,2294.75,25.88235294117647,0.0,0.0
1785085720.4329212,51.0,2277.0,25.88235294117647,-1.5801135610179504,-2.496758865712828
1785085721.0560935,51.0,2247.0,25.88235294117647,0.0,2.535596661927096
1785085721.6818523,50.0,2216.75,25.49019607843137,-1.5980596070368964,-2.5537945076429196
1785085723.469738,47.0,1737.25,23.529411764705884,-1.677959646541856,-0.044689680682140784
1785085724.0941937,36.0,1353.0,21.176470588235293,-17.61534111929907,-25.522037381001397
1785085724.7308142,33.0,1088.5,21.568627450980394,-4.712383434824619,20.267894684186807
1785085725.3635876,32.0,1012.0,21.96078431372549,-1.580344560979396,4.949700599057331
1785085725.9948575,32.0,953.25,22.352941176470587,0.0,2.5034370898835627
1785085726.6194115,32.0,1476.75,33.72549019607843,0.0,0.0
1785085727.2438684,32.0,2282.75,34.509803921568626,0.0,0.0
1785085727.8667567,33.0,2345.5,36.86274509803921,1.605424210446137,2.5773868954866024
1785085728.5002506,34.0,2478.0,55.68627450980392,1.5785471644287346,-0.04242668477899113
1785085729.1194918,37.0,2578.75,30.58823529411765,4.8446385958265665,5.274344202016125
1785085729.744945,37.0,1961.5,60.3921568627451,0.0,-7.745804697532555
1785085730.382009,38.0,2414.75,72.54901960784314,1.5697010523794555,2.4639613938411697
1785085731.006795,42.0,1871.25,47.05882352941177,6.402193134092108,7.7346369065238045
1785085731.6323059,44.0,1994.75,49.411764705882355,3.197386169982044,-5.1235027322538285
1785085732.2757888,47.0,2119.5,49.80392156862745,4.662128380418702,2.276272076424655
1785085732.9060705,50.0,2228.75,49.80392156862745,4.759776561671937,0.15492784147301372
1785085733.5440273,52.0,2142.75,21.568627450980394,3.13500823122934,-2.5468310448891467
1785085734.1644864,52.0,1695.75,60.3921568627451,0.0,-5.052723593844032
1785085734.7891068,52.0,1690.0,54.11764705882353,0.0,0.0
1785085735.4194431,53.0,1708.5,38.8235294117647,1.5864547613265947,2.5168387097358225
1785085736.0562897,54.0,1721.75,36.470588235294116,1.570236993509858,-0.0254657389779937
